clase,precision,recall,f1-score,support
Declaración,0.8338928856914468,0.5884476534296029,0.6899927243865335,8864.0
Pregunta declarativa,0.38556618819776717,0.43054318788958146,0.40681531342027766,2246.0
Retroalimentación breve,0.6118175018698578,0.8342682304946456,0.705933117583603,1961.0
Continuación / seguimiento,0.7313961729270021,0.7835990888382688,0.7565982404692082,1317.0
Pregunta,0.2730739893211289,0.6617375231053605,0.38660907127429806,1082.0
accuracy,0.6184227537168714,0.6184227537168714,0.6184227537168714,0.6184227537168714
macro avg,0.5671493476014406,0.6597191367514919,0.5891896934267841,15470.0
weighted avg,0.6927018186695723,0.6184227537168714,0.635351547789422,15470.0
